City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,nemuro,43.3236,145.575,286.87,100,100,6.11,JP,1719791754
130,palmer,42.1584,-72.3287,295.93,79,86,3.58,US,1719791756
131,port augusta,-32.5,137.7667,283.66,54,33,2.64,AU,1719791758
132,fairfield,41.2668,-73.3162,296.23,85,40,2.57,US,1719791759
133,utrik,11.2278,169.8474,300.96,78,71,7.76,MH,1719791760
134,zvishavane,-20.3267,30.0665,285.42,47,0,1.28,ZW,1719791762
135,camacupa,-12.0167,17.4833,286.21,47,1,0.73,AO,1719791763
136,ancud,-41.8697,-73.8203,280.52,79,99,1.92,CL,1719791765
137,vadso,70.0744,29.7487,280.64,93,75,1.54,NO,1719791766
138,kourou,5.1552,-52.6478,301.18,89,47,3.64,GF,1719791768
139,ust-nera,64.5667,143.2,291.2,42,5,1.66,RU,1719791769
140,canutama,-6.5339,-64.3831,299.46,69,59,1.18,BR,1719791771
141,disa,24.25,72.1667,301.42,83,99,3.22,IN,1719791772
142,paphos,34.7667,32.4167,298.03,78,0,2.06,CY,1719791707
143,port mathurin,-19.6833,63.4167,296.24,68,4,9.06,MU,1719791775
144,turpan,42.9333,89.1667,311.13,16,100,1.71,CN,1719791776
145,taounate,34.5,-4.8333,292.78,69,0,1.89,MA,1719791778
146,kailua-kona,19.6406,-155.9956,301.64,71,11,0.45,US,1719791779
147,lebu,-37.6167,-73.65,283.5,91,99,4.24,CL,1719791781
148,tshikapa,-6.4167,20.8,294.78,45,42,0.91,CD,1719791782
149,langepas,61.2544,75.2124,284.59,80,84,3.31,RU,1719791784
150,bardai,11.65,7.2333,297.82,75,97,3.53,NG,1719791785
151,yeniseysk,58.4497,92.1703,294.45,78,85,3.03,RU,1719791787
152,phu ly,20.5411,105.9139,302.24,72,94,2.42,VN,1719791788
153,margaret river,-33.95,115.0667,286.51,76,4,6.41,AU,1719791789
154,aykhal,66.0,111.5,287.36,74,79,2.96,RU,1719791791
155,vavuniya,8.7514,80.4971,298.38,87,75,3.08,LK,1719791792
156,karpinsk,59.7654,60.0085,288.11,81,41,2.45,RU,1719791794
157,acapulco de juarez,16.8634,-99.8901,301.15,82,93,1.85,MX,1719791795
158,urangan,-25.3,152.9,293.26,94,76,3.58,AU,1719791799
159,at taj,24.2049,23.2857,299.73,28,16,3.86,LY,1719791802
160,esmeralda,21.8525,-78.1169,300.87,77,99,4.64,CU,1719791803
161,huarmey,-10.0681,-78.1522,291.98,84,6,4.18,PE,1719791805
162,salinas,36.6777,-121.6555,298.74,66,0,2.24,US,1719791806
163,cill airne,52.05,-9.5167,283.84,97,100,1.64,IE,1719791807
164,cholpon-ata,42.6494,77.0823,288.18,78,52,0.12,KG,1719791548
165,kargasok,59.0556,80.8572,288.1,88,7,1.54,RU,1719791812
166,ilulissat,69.2167,-51.1,275.26,89,99,1.53,GL,1719791813
167,xining,36.6167,101.7667,285.17,77,60,1.22,CN,1719791814
168,harper,4.375,-7.7169,298.01,85,97,5.09,LR,1719791816
169,labrador city,52.9463,-66.9114,291.1,45,75,3.6,CA,1719791817
170,quang ngai,15.1167,108.8,302.15,70,87,1.45,VN,1719791664
171,tidjikja,18.5564,-11.4271,306.35,21,1,4.76,MR,1719791820
172,boguchany,58.3814,97.4531,298.51,52,74,1.45,RU,1719791822
173,malaryta,51.7905,24.074,294.84,77,9,3.59,BY,1719791823
174,saint-pierre,-21.3393,55.4781,291.97,55,0,3.6,RE,1719791824
175,balkh,36.75,67.0,302.27,23,0,6.75,AF,1719791826
176,vilyuchinsk,52.9306,158.4028,286.3,84,100,2.39,RU,1719791827
177,luganville,-15.5333,167.1667,299.76,77,51,5.85,VU,1719791829
178,hasaki,35.7333,140.8333,299.42,92,100,11.53,JP,1719791762
179,al muwayh,22.4333,41.7583,299.57,22,28,4.75,SA,1719791832
180,kone,-21.0595,164.8658,298.9,49,47,1.81,NC,1719791834
181,alice springs,-23.7,133.8833,282.9,93,100,5.66,AU,1719791835
182,kingston,17.997,-76.7936,303.68,66,49,10.29,JM,1719791723
183,hilton head island,32.2163,-80.7526,302.62,69,9,0.89,US,1719791839
184,dunedin,-45.8742,170.5036,282.48,87,100,0.89,NZ,1719791792
185,thompson,55.7435,-97.8558,298.24,29,40,4.63,CA,1719791843
186,lata,40.1629,-8.3327,289.3,98,18,0.56,PT,1719791846
187,sitka,57.0531,-135.33,285.47,92,99,1.97,US,1719791848
188,susuman,62.7833,148.1667,280.94,91,100,1.74,RU,1719791849
189,lautoka,-17.6167,177.4667,301.07,51,20,5.66,FJ,1719791851
190,kavaratti,10.5669,72.642,300.78,83,100,6.39,IN,1719791852
191,maceio,-9.6658,-35.7353,295.84,88,75,2.57,BR,1719791854
192,suva,-18.1416,178.4415,297.86,73,75,3.6,FJ,1719791710
193,bakaly,55.1789,53.8028,287.2,91,15,2.28,RU,1719791857
194,sinop,41.7711,34.8709,289.46,70,0,2.49,TR,1719791858
195,den burg,53.0542,4.7972,288.14,77,100,3.6,NL,1719791859
196,toboso,10.7144,123.5162,301.46,74,100,0.75,PH,1719791861
197,motueka,-41.1333,173.0167,286.54,98,100,3.97,NZ,1719791862
198,la gomera,14.0833,-91.05,302.99,88,73,2.02,GT,1719791864
199,arno,60.1167,18.6333,288.59,96,100,7.21,SE,1719791865
200,sandnessjoen,66.0217,12.6316,283.44,77,100,6.26,NO,1719791867
201,port alfred,-33.5906,26.891,292.03,88,88,4.08,ZA,1719791868
202,severo-yeniseyskiy,60.3725,93.0408,291.37,90,58,4.07,RU,1719791870
203,guymon,36.6828,-101.4816,306.98,34,75,3.61,US,1719791871
204,qom,34.6401,50.8764,298.59,42,17,1.65,IR,1719791873
205,ta`u,-14.2336,-169.5144,300.45,73,39,6.6,AS,1719791874
206,toropets,56.4978,31.6353,288.83,88,54,2.32,RU,1719791876
207,camarinas,43.1311,-9.1817,289.92,93,6,3.39,ES,1719791878
